@RELATION Tabela_de_Resultados

@ATTRIBUTE st_adv NUMERIC
@ATTRIBUTE st_ver NUMERIC
@ATTRIBUTE st_ing NUMERIC
@ATTRIBUTE 1g NUMERIC
@ATTRIBUTE 2g NUMERIC
@ATTRIBUTE 3g NUMERIC
@ATTRIBUTE 4g NUMERIC
@ATTRIBUTE 1g_2g NUMERIC
@ATTRIBUTE 1g_3g NUMERIC
@ATTRIBUTE 1g_4g NUMERIC
@ATTRIBUTE 2g_3g NUMERIC
@ATTRIBUTE 2g_4g NUMERIC
@ATTRIBUTE 3g_4g NUMERIC
@ATTRIBUTE 1g_2g_3g NUMERIC
@ATTRIBUTE 1g_2g_4g NUMERIC
@ATTRIBUTE 1g_3g_4g NUMERIC
@ATTRIBUTE 2g_3g_4g NUMERIC
@ATTRIBUTE dv_1_2 NUMERIC
@ATTRIBUTE dv_1_3 NUMERIC
@ATTRIBUTE dv_1_4 NUMERIC
@ATTRIBUTE dv_1_5 NUMERIC
@ATTRIBUTE dv_1_6 NUMERIC
@ATTRIBUTE acerto NUMERIC
@ATTRIBUTE classe {20_29, 30_39, 40_49, 50_59, 60_69, 70_79, 80_89}

@DATA
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 73.84,70_79
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 79.68,70_79
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 75.92,70_79
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 77.32,70_79
1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 70.44,70_79
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 68.32,60_69
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 72.04,70_79
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 59.36,50_59
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 65.16,60_69
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 69.88,60_69
